datum,test_FR,diff_test_FR,diff_2_test_FR,test_NE,diff_test_NE,diff_2_test_NE,test_TI,diff_test_TI,diff_2_test_TI,test_VD,diff_test_VD,diff_2_test_VD,test_VS,diff_test_VS,diff_2_test_VS,test_GE,diff_test_GE,diff_2_test_GE,test_JU,diff_test_JU,diff_2_test_JU,cases_GE,diff_cases_GE,diff_2_cases_GE,cases_TI,diff_cases_TI,diff_2_cases_TI,cases_VD,diff_cases_VD,diff_2_cases_VD,cases_VS,diff_cases_VS,diff_2_cases_VS,cases_FR,diff_cases_FR,diff_2_cases_FR,cases_NE,diff_cases_NE,diff_2_cases_NE,cases_JU,diff_cases_JU,diff_2_cases_JU,hosp_VS,diff_hosp_VS,diff_2_hosp_VS,hosp_TI,diff_hosp_TI,diff_2_hosp_TI,hosp_VD,diff_hosp_VD,diff_2_hosp_VD,hosp_JU,diff_hosp_JU,diff_2_hosp_JU,hosp_NE,diff_hosp_NE,diff_2_hosp_NE,hosp_FR,diff_hosp_FR,diff_2_hosp_FR,hosp_GE,diff_hosp_GE,diff_2_hosp_GE,vac_all
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,1.1428571428571428,0.2857142857142857,0.2857142857142857,1.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7142857142857142,0.2857142857142857,0.42857142857142855,1.4285714285714286,0.5714285714285714,0.7142857142857143,1.0,0.7142857142857143,0.8571428571428571,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,1.2857142857142858,0.14285714285714285,0.5714285714285714,1.0,0.0,-0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.0,0.14285714285714285,0.0
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7142857142857142,0.0,0.2857142857142857,2.857142857142857,1.4285714285714286,2.0,1.5714285714285714,0.5714285714285714,1.2857142857142858,0.5714285714285714,0.0,0.2857142857142857,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,1.7142857142857142,0.42857142857142855,0.5714285714285714,1.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.8571428571428571,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7142857142857142,0.0,0.0,3.857142857142857,1.0,2.4285714285714284,2.5714285714285716,1.0,1.5714285714285714,0.7142857142857143,0.14285714285714285,0.14285714285714285,1.0,0.2857142857142857,0.7142857142857143,1.2857142857142858,1.0,1.1428571428571428,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.2857142857142857,2.2857142857142856,0.5714285714285714,1.0,1.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,-0.14285714285714285,0.0,0.7142857142857143,-0.14285714285714285,-0.14285714285714285,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8571428571428572,0.14285714285714285,0.14285714285714285,5.428571428571429,1.5714285714285714,2.5714285714285716,4.142857142857143,1.5714285714285714,2.5714285714285716,0.8571428571428571,0.14285714285714285,0.2857142857142857,1.1428571428571428,0.14285714285714285,0.42857142857142855,1.4285714285714286,0.14285714285714285,1.1428571428571428,0.5714285714285714,0.0,0.2857142857142857,0.5714285714285714,0.0,0.14285714285714285,2.4285714285714284,0.14285714285714285,0.7142857142857143,1.7142857142857142,0.7142857142857143,0.7142857142857143,0.14285714285714285,0.0,0.0,0.42857142857142855,0.14285714285714285,0.0,1.0,0.2857142857142857,0.14285714285714285,0.8571428571428571,0.2857142857142857,0.42857142857142855,0.0
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5714285714285716,1.7142857142857142,1.8571428571428572,6.714285714285714,1.2857142857142858,2.857142857142857,5.285714285714286,1.1428571428571428,2.7142857142857144,0.7142857142857143,-0.14285714285714285,0.0,1.2857142857142858,0.14285714285714285,0.2857142857142857,2.0,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.0,0.0,0.8571428571428571,0.2857142857142857,0.2857142857142857,2.7142857142857144,0.2857142857142857,0.42857142857142855,2.4285714285714284,0.7142857142857143,1.4285714285714286,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.8571428571428571,0.42857142857142855,0.5714285714285714,1.1428571428571428,0.14285714285714285,0.42857142857142855,1.0,0.14285714285714285,0.42857142857142855,0.0
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.428571428571429,0.8571428571428571,2.5714285714285716,8.285714285714286,1.5714285714285714,2.857142857142857,6.857142857142857,1.5714285714285714,2.7142857142857144,0.8571428571428571,0.14285714285714285,0.0,1.0,-0.2857142857142857,-0.14285714285714285,2.7142857142857144,0.7142857142857143,1.2857142857142858,0.5714285714285714,0.0,0.0,0.8571428571428571,0.0,0.2857142857142857,2.857142857142857,0.14285714285714285,0.42857142857142855,2.4285714285714284,0.0,0.7142857142857143,0.42857142857142855,0.0,0.2857142857142857,1.0,0.14285714285714285,0.5714285714285714,1.0,-0.14285714285714285,0.0,1.1428571428571428,0.14285714285714285,0.2857142857142857,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.428571428571429,1.0,1.8571428571428572,9.428571428571429,1.1428571428571428,2.7142857142857144,8.142857142857142,1.2857142857142858,2.857142857142857,1.7142857142857142,0.8571428571428571,1.0,1.5714285714285714,0.5714285714285714,0.2857142857142857,3.5714285714285716,0.8571428571428571,1.5714285714285714,0.7142857142857143,0.14285714285714285,0.14285714285714285,1.1428571428571428,0.2857142857142857,0.2857142857142857,2.7142857142857144,-0.14285714285714285,0.0,2.857142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,0.0,1.1428571428571428,0.14285714285714285,0.2857142857142857,1.0,0.0,-0.14285714285714285,1.0,-0.14285714285714285,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.285714285714286,3.857142857142857,4.857142857142857,15.571428571428571,6.142857142857143,7.285714285714286,12.571428571428571,4.428571428571429,5.714285714285714,2.0,0.2857142857142857,1.1428571428571428,2.0,0.42857142857142855,1.0,3.857142857142857,0.2857142857142857,1.1428571428571428,0.8571428571428571,0.14285714285714285,0.2857142857142857,1.2857142857142858,0.14285714285714285,0.42857142857142855,3.142857142857143,0.42857142857142855,0.2857142857142857,3.857142857142857,1.0,1.4285714285714286,0.5714285714285714,0.14285714285714285,0.14285714285714285,1.1428571428571428,0.0,0.14285714285714285,0.7142857142857143,-0.2857142857142857,-0.2857142857142857,1.5714285714285714,0.5714285714285714,0.42857142857142855,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.714285714285714,2.4285714285714284,6.285714285714286,20.857142857142858,5.285714285714286,11.428571428571429,17.714285714285715,5.142857142857143,9.571428571428571,2.7142857142857144,0.7142857142857143,1.0,3.0,1.0,1.4285714285714286,4.285714285714286,0.42857142857142855,0.7142857142857143,1.1428571428571428,0.2857142857142857,0.42857142857142855,1.5714285714285714,0.2857142857142857,0.42857142857142855,3.7142857142857144,0.5714285714285714,1.0,4.857142857142857,1.0,2.0,0.42857142857142855,-0.14285714285714285,0.0,1.1428571428571428,0.0,0.0,1.0,0.2857142857142857,0.0,2.4285714285714284,0.8571428571428571,1.4285714285714286,0.0
